model,policy,TTFT,TTLT,Throughput,ITL,SA util,Compute util
gpt3,double,0.454697,0.454697,0.000000,0.000000,0.000000,0.000000
gpt_neo_quant,double,0.014401,0.014401,0.000000,0.000000,0.000000,0.000000
gemma_2_2b_quant,double,0.010792,0.010792,0.000000,0.000000,0.000000,0.000000
gpt_neo,double,0.048845,0.048845,0.000000,0.000000,0.000000,0.000000
gpt_2.7b,double,0.098112,0.098112,0.000000,0.000000,0.000000,0.000000
llama2_quant,double,0.065159,0.065159,0.000000,0.000000,0.000000,0.000000
gpt_xl,double,0.103364,0.103364,0.000000,0.000000,0.000000,0.000000
gemma_2_2b,double,0.036627,0.036627,0.000000,0.000000,0.000000,0.000000
tiny_llama_quant,double,0.013225,0.013225,0.000000,0.000000,0.000000,0.000000
llama2,double,0.237448,0.237448,0.000000,0.000000,0.000000,0.000000
gpt3_quant,double,0.122662,0.122662,0.000000,0.000000,0.000000,0.000000
gpt_xl_quant,double,0.029088,0.029088,0.000000,0.000000,0.000000,0.000000
gpt_2.7b_quant,double,0.028151,0.028151,0.000000,0.000000,0.000000,0.000000
bloom,double,0.222607,0.222607,0.000000,0.000000,0.000000,0.000000
tiny_llama,double,0.044797,0.044797,0.000000,0.000000,0.000000,0.000000
bloom_quant,double,0.061086,0.061086,0.000000,0.000000,0.000000,0.000000
gpt3,cache,0.538630,0.538630,0.000000,0.000000,0.000000,0.000000
gpt_neo_quant,cache,0.015099,0.015099,0.000000,0.000000,0.000000,0.000000
gemma_2_2b_quant,cache,0.011324,0.011324,0.000000,0.000000,0.000000,0.000000
gpt_neo,cache,0.055442,0.055442,0.000000,0.000000,0.000000,0.000000
gpt_2.7b,cache,0.112379,0.112379,0.000000,0.000000,0.000000,0.000000
llama2_quant,cache,0.073921,0.073921,0.000000,0.000000,0.000000,0.000000
gpt_xl,cache,0.119075,0.119075,0.000000,0.000000,0.000000,0.000000
gemma_2_2b,cache,0.041583,0.041583,0.000000,0.000000,0.000000,0.000000
tiny_llama_quant,cache,0.013841,0.013841,0.000000,0.000000,0.000000,0.000000
llama2,cache,0.279336,0.279336,0.000000,0.000000,0.000000,0.000000
gpt3_quant,cache,0.140473,0.140473,0.000000,0.000000,0.000000,0.000000
gpt_xl_quant,cache,0.032261,0.032261,0.000000,0.000000,0.000000,0.000000
gpt_2.7b_quant,cache,0.030609,0.030609,0.000000,0.000000,0.000000,0.000000
bloom,cache,0.261877,0.261877,0.000000,0.000000,0.000000,0.000000
tiny_llama,cache,0.050821,0.050821,0.000000,0.000000,0.000000,0.000000
bloom_quant,cache,0.069301,0.069301,0.000000,0.000000,0.000000,0.000000
gpt3,preload,0.541985,0.541985,0.000000,0.000000,0.000000,0.000000
gpt_neo_quant,preload,0.014728,0.014728,0.000000,0.000000,0.000000,0.000000
gemma_2_2b_quant,preload,0.011046,0.011046,0.000000,0.000000,0.000000,0.000000
gpt_neo,preload,0.054400,0.054400,0.000000,0.000000,0.000000,0.000000
gpt_2.7b,preload,0.124136,0.124136,0.000000,0.000000,0.000000,0.000000
llama2_quant,preload,0.072461,0.072461,0.000000,0.000000,0.000000,0.000000
gpt_xl,preload,0.119899,0.119899,0.000000,0.000000,0.000000,0.000000
gemma_2_2b,preload,0.040802,0.040802,0.000000,0.000000,0.000000,0.000000
tiny_llama_quant,preload,0.013452,0.013452,0.000000,0.000000,0.000000,0.000000
llama2,preload,0.279532,0.279532,0.000000,0.000000,0.000000,0.000000
gpt3_quant,preload,0.155170,0.155170,0.000000,0.000000,0.000000,0.000000
gpt_xl_quant,preload,0.036576,0.036576,0.000000,0.000000,0.000000,0.000000
gpt_2.7b_quant,preload,0.038216,0.038216,0.000000,0.000000,0.000000,0.000000
bloom,preload,0.262061,0.262061,0.000000,0.000000,0.000000,0.000000
tiny_llama,preload,0.049817,0.049817,0.000000,0.000000,0.000000,0.000000
bloom_quant,preload,0.067933,0.067933,0.000000,0.000000,0.000000,0.000000
gpt3,block,0.443785,0.443785,0.000000,0.000000,0.000000,0.000000
gpt_neo_quant,block,0.012259,0.012259,0.000000,0.000000,0.000000,0.000000
gemma_2_2b_quant,block,0.009322,0.009322,0.000000,0.000000,0.000000,0.000000
gpt_neo,block,0.045479,0.045479,0.000000,0.000000,0.000000,0.000000
gpt_2.7b,block,0.092109,0.092109,0.000000,0.000000,0.000000,0.000000
llama2_quant,block,0.060184,0.060184,0.000000,0.000000,0.000000,0.000000
gpt_xl,block,0.098273,0.098273,0.000000,0.000000,0.000000,0.000000
gemma_2_2b,block,0.034238,0.034238,0.000000,0.000000,0.000000,0.000000
tiny_llama_quant,block,0.010925,0.010925,0.000000,0.000000,0.000000,0.000000
llama2,block,0.229667,0.229667,0.000000,0.000000,0.000000,0.000000
gpt3_quant,block,0.114853,0.114853,0.000000,0.000000,0.000000,0.000000
gpt_xl_quant,block,0.026147,0.026147,0.000000,0.000000,0.000000,0.000000
gpt_2.7b_quant,block,0.024503,0.024503,0.000000,0.000000,0.000000,0.000000
bloom,block,0.215312,0.215312,0.000000,0.000000,0.000000,0.000000
tiny_llama,block,0.041376,0.041376,0.000000,0.000000,0.000000,0.000000
bloom_quant,block,0.056422,0.056422,0.000000,0.000000,0.000000,0.000000
gpt3,block_end,0.437078,0.437078,0.000000,0.000000,0.000000,0.000000
gpt_neo_quant,block_end,0.011397,0.011397,0.000000,0.000000,0.000000,0.000000
gemma_2_2b_quant,block_end,0.008705,0.008705,0.000000,0.000000,0.000000,0.000000
gpt_neo,block_end,0.043804,0.043804,0.000000,0.000000,0.000000,0.000000
gpt_2.7b,block_end,0.089001,0.089001,0.000000,0.000000,0.000000,0.000000
llama2_quant,block_end,0.058329,0.058329,0.000000,0.000000,0.000000,0.000000
gpt_xl,block_end,0.095115,0.095115,0.000000,0.000000,0.000000,0.000000
gemma_2_2b,block_end,0.033102,0.033102,0.000000,0.000000,0.000000,0.000000
tiny_llama_quant,block_end,0.010136,0.010136,0.000000,0.000000,0.000000,0.000000
llama2,block_end,0.224196,0.224196,0.000000,0.000000,0.000000,0.000000
gpt3_quant,block_end,0.110962,0.110962,0.000000,0.000000,0.000000,0.000000
gpt_xl_quant,block_end,0.025330,0.025330,0.000000,0.000000,0.000000,0.000000
gpt_2.7b_quant,block_end,0.022971,0.022971,0.000000,0.000000,0.000000,0.000000
bloom,block_end,0.210184,0.210184,0.000000,0.000000,0.000000,0.000000
tiny_llama,block_end,0.040101,0.040101,0.000000,0.000000,0.000000,0.000000
bloom_quant,block_end,0.054684,0.054684,0.000000,0.000000,0.000000,0.000000
